complain_id,complain_date,customer_id,appliance_id,engineer_id,labour_hours,travel_hours
69,2018-03-12,402,73,3,4,16
70,2019-02-10,355,66,6,11,10
71,2019-02-12,888,68,25,12,4
72,2019-05-16,747,31,19,17,4
73,2019-09-06,923,117,16,1,10
74,2018-08-25,916,64,3,11,17
75,2018-07-29,381,96,24,15,9
76,2018-03-19,859,44,25,12,14
77,2018-02-26,745,144,11,5,1
78,2018-09-08,725,133,22,7,16
79,2018-07-02,459,12,33,1,14
80,2018-11-15,688,29,12,15,6
81,2019-05-02,260,48,33,3,20
82,2018-12-24,155,110,6,15,14
83,2019-05-21,491,7,6,2,5
84,2019-01-16,257,30,13,11,15
85,2018-09-20,302,38,29,5,1
86,2019-08-16,93,135,50,7,2
87,2019-10-24,105,80,34,4,20
88,2018-01-19,45,33,5,5,3
89,2019-08-17,829,143,42,8,20
90,2018-10-16,552,82,8,18,1
91,2019-01-10,323,67,12,8,18
92,2019-05-09,76,43,48,15,12
93,2019-11-05,423,10,11,18,3
94,2018-02-06,476,18,8,20,18
95,2018-10-26,21,136,22,3,16
96,2018-03-21,791,30,34,17,19
97,2019-12-19,119,105,46,12,5
98,2018-07-15,836,36,22,14,11
99,2019-08-07,897,72,22,19,12
100,2019-10-07,749,26,13,2,10
101,2019-11-26,670,97,28,10,6
102,2018-10-03,889,97,13,17,17
103,2019-11-03,143,19,22,9,3
104,2019-11-26,733,75,31,1,3
105,2019-12-30,107,108,29,5,1
106,2018-09-28,303,69,6,2,11
107,2019-07-03,927,140,25,12,1
108,2018-04-10,938,39,48,6,19
109,2019-03-31,860,66,47,17,1
110,2019-04-17,695,90,3,9,10
111,2019-09-05,943,93,49,14,20
112,2018-08-24,678,8,44,15,4
113,2019-01-23,828,38,4,13,8
114,2018-10-20,217,129,42,7,6
115,2019-05-08,514,138,31,15,7
116,2018-06-12,922,63,46,14,18
117,2018-09-20,154,117,47,1,12
118,2019-02-19,739,47,26,2,11
119,2019-01-04,367,29,2,5,7
120,2019-11-21,146,123,49,14,10
121,2019-10-15,197,59,18,14,14
122,2018-03-21,62,100,23,18,11
123,2018-11-03,304,36,9,8,10
124,2018-01-12,250,112,34,11,10
125,2018-07-30,180,70,29,17,3
126,2019-10-11,992,17,27,6,2
127,2019-10-01,131,70,33,20,14
128,2018-02-27,540,28,5,9,6
129,2018-04-27,750,72,12,20,16
130,2019-04-10,527,134,23,1,8
131,2018-06-28,353,63,2,17,16
132,2019-10-25,888,33,41,13,18
133,2019-10-06,249,14,23,16,3
134,2019-05-04,861,109,47,8,19
135,2019-01-27,651,83,19,5,19
136,2018-08-25,169,105,4,16,20
137,2018-12-10,38,117,35,1,4
138,2018-01-10,45,94,42,6,3
139,2018-09-09,923,67,48,8,17
140,2018-03-20,772,139,3,12,6
141,2019-06-24,589,6,24,9,18
142,2018-03-02,827,134,43,2,1
143,2018-04-17,560,82,23,12,12
144,2018-10-03,585,81,8,18,10
145,2018-09-06,996,124,2,7,7
146,2019-08-30,959,85,15,13,9
147,2018-03-30,989,73,30,12,4
148,2018-10-27,60,17,2,18,11
149,2019-01-08,937,9,28,10,11
150,2019-11-04,562,55,48,17,3
151,2019-06-14,548,144,28,10,5
152,2018-01-02,35,137,29,18,19
153,2019-06-02,990,117,24,20,11
154,2019-08-08,221,115,20,1,19
155,2019-12-09,798,81,18,11,9
156,2019-09-11,308,65,47,6,14
157,2018-01-21,244,27,45,17,13
158,2018-12-26,896,143,41,16,15
159,2019-07-23,786,8,14,8,7
160,2018-04-20,873,69,5,18,8
161,2019-07-18,631,16,17,9,10
162,2018-05-27,709,71,28,20,4
163,2019-11-02,305,98,23,17,7
164,2018-08-09,238,22,10,20,13
165,2019-11-20,468,61,7,3,1
166,2018-04-16,978,51,18,5,12
167,2018-04-29,897,68,31,17,13
168,2019-01-26,906,102,14,12,6
169,2019-07-05,748,96,7,6,19
170,2019-06-27,890,60,4,16,17
171,2018-12-13,657,144,36,17,2
172,2019-02-14,538,66,5,13,16
173,2018-02-21,56,112,26,2,14
174,2018-04-22,768,65,24,4,15
175,2018-03-29,602,45,8,9,13
176,2019-07-25,870,89,49,15,19
177,2019-06-30,748,40,12,18,4
178,2019-10-19,906,58,26,8,18
179,2018-09-30,789,77,33,9,4
180,2019-09-26,510,67,34,12,3
181,2018-10-23,956,41,34,11,17
182,2018-09-16,483,22,39,3,1
183,2019-03-26,190,49,48,19,13
184,2018-09-22,259,23,9,7,3
185,2018-10-19,436,65,15,3,9
186,2019-01-17,879,145,5,1,6
187,2018-01-02,105,129,45,19,9
188,2018-04-17,237,132,7,4,8
189,2019-09-12,110,37,31,3,6
190,2018-08-12,170,52,2,5,8
191,2018-12-22,242,120,28,9,2
192,2019-09-30,172,145,3,14,10
193,2019-12-12,239,6,42,11,1
194,2019-05-08,691,81,38,12,2
195,2019-08-21,926,92,32,2,3
196,2019-01-29,742,126,31,9,13
197,2018-02-18,714,1,10,10,6
198,2019-10-13,992,91,49,14,10
199,2018-01-27,435,120,37,7,12
200,2019-12-17,155,12,32,2,14
201,2019-02-07,254,54,49,3,17
202,2018-04-18,357,87,38,18,1
203,2018-07-18,983,116,42,18,10
204,2019-09-21,898,27,5,1,13
205,2018-10-29,350,26,7,10,18
206,2019-09-19,870,92,39,13,19
207,2018-01-16,392,133,10,6,4
208,2018-06-21,208,139,6,18,20
209,2018-08-02,857,104,22,17,9
210,2019-09-25,538,132,21,3,5
211,2019-09-14,860,39,44,18,10
212,2019-03-28,311,125,44,10,15
213,2019-02-20,294,128,11,2,4
214,2018-08-06,29,112,26,5,5
215,2019-11-08,948,2,27,17,15
216,2018-11-18,365,117,43,13,15
217,2018-02-01,18,4,34,1,16
218,2019-09-09,211,69,1,16,3
219,2019-01-14,417,69,27,9,20
220,2018-03-26,110,123,17,9,11
221,2019-03-27,832,85,21,10,3
222,2018-12-21,633,2,50,18,1
223,2018-12-15,66,26,40,15,13
224,2019-10-15,336,54,23,16,14
225,2019-02-06,978,62,31,7,20
226,2019-03-19,672,6,12,2,2
227,2019-12-13,232,73,22,12,8
228,2018-07-05,465,92,46,11,9
229,2019-02-13,756,52,22,14,14
230,2019-07-04,964,142,37,18,11
231,2019-10-14,205,103,28,11,13
232,2019-04-30,168,106,25,11,12
233,2018-10-13,427,143,45,1,3
234,2018-04-04,2,10,36,15,18
235,2019-04-06,467,31,11,5,12
236,2019-01-16,902,78,29,19,20
237,2018-08-02,658,36,37,1,19
238,2018-04-30,157,68,49,12,6
239,2018-12-28,949,21,9,17,7
240,2018-06-11,386,65,35,8,9
241,2019-06-25,112,132,12,4,12
242,2019-10-18,837,17,22,14,9
243,2019-06-17,21,17,24,1,1
244,2019-07-10,315,89,8,7,5
245,2018-05-17,561,138,16,19,20
246,2019-02-05,731,74,22,20,17
247,2018-10-01,786,140,40,8,7
248,2019-09-11,436,7,25,3,8
249,2018-03-02,675,13,48,8,19
250,2018-12-20,708,51,41,11,14
251,2018-10-29,391,94,38,11,6
252,2019-04-02,228,13,5,20,6
253,2018-11-22,337,44,1,13,18
254,2019-01-25,805,4,42,4,7
255,2018-04-04,206,43,43,11,18
256,2018-08-10,146,12,43,2,20
257,2018-05-18,878,76,3,18,16
258,2019-06-05,801,50,17,14,14
259,2018-04-24,35,40,1,1,8
260,2019-01-07,607,143,35,17,17
261,2018-06-14,560,65,19,1,17
262,2019-08-14,14,137,40,2,19
263,2018-01-01,289,41,43,15,16
264,2019-02-27,550,38,33,4,7
265,2019-12-20,391,8,10,19,10
266,2018-03-17,19,41,46,10,17
267,2018-07-17,763,65,28,7,1
268,2018-02-18,858,143,41,9,18
269,2019-02-07,166,49,20,18,9
270,2018-02-26,513,72,7,13,19
271,2018-04-23,252,118,12,19,7
272,2019-08-25,342,77,16,11,19
273,2019-02-23,919,123,49,20,9
274,2019-08-21,368,127,27,16,2
275,2019-11-19,108,93,18,16,7
276,2019-05-11,456,13,3,6,1
277,2018-09-14,733,35,20,5,11
278,2018-02-26,503,142,39,8,10
279,2019-07-20,91,86,32,5,20
280,2018-02-23,343,120,33,18,10
281,2019-04-18,888,86,15,2,2
282,2018-06-27,310,119,21,7,4
283,2019-05-17,289,142,37,19,13
284,2019-04-10,486,119,39,5,5
285,2018-12-05,277,61,38,17,16
286,2018-12-31,258,79,46,14,8
287,2019-01-09,527,69,31,9,13
288,2019-08-23,596,132,27,4,6
289,2018-04-09,537,46,2,7,12
290,2018-08-08,217,108,39,10,4
291,2018-10-20,883,12,28,12,8
292,2018-12-15,610,118,50,15,18
293,2019-10-07,940,109,1,7,11
294,2018-04-02,562,47,25,6,19
295,2019-05-07,617,70,24,12,15
296,2018-03-30,760,128,33,16,20
297,2019-06-27,448,67,25,14,14
298,2019-05-17,676,38,44,19,20
299,2019-07-10,251,4,8,9,18
300,2019-12-18,509,56,44,16,10
301,2019-01-15,410,92,2,2,2
302,2019-01-28,935,39,4,2,3
303,2018-08-27,457,65,30,5,4
304,2019-01-16,627,138,42,2,4
305,2019-02-23,80,101,22,1,9
306,2019-02-25,905,84,29,13,12
307,2019-02-16,242,1,12,18,15
308,2019-10-11,686,68,27,18,1
309,2019-07-07,318,31,8,20,13
310,2019-07-14,202,77,11,20,6
311,2018-04-24,858,137,13,16,17
312,2019-10-15,140,106,38,5,19
313,2019-04-24,599,25,24,14,4
314,2018-12-09,16,46,25,12,3
315,2018-11-19,262,75,36,5,11
316,2019-09-30,706,2,34,19,5
317,2018-05-10,113,53,26,2,10
318,2019-11-02,995,90,31,8,1
319,2018-02-17,427,4,3,12,1
320,2018-08-15,937,113,23,16,7
321,2018-12-28,537,78,2,7,6
322,2018-10-21,760,125,37,10,12
323,2018-09-28,966,56,15,14,9
324,2018-10-31,940,137,2,12,18
325,2018-01-15,948,58,24,19,12
326,2018-04-07,952,34,21,20,2
327,2019-08-05,506,107,11,18,1
328,2019-12-07,18,22,31,3,7
329,2018-02-14,199,125,45,14,5
330,2018-07-02,585,55,36,4,16
331,2019-10-14,497,50,2,10,8
332,2019-11-11,843,45,44,10,3
333,2019-08-20,538,55,34,6,3
334,2019-06-29,914,50,4,13,20
335,2019-11-02,282,44,15,7,7
336,2018-03-10,635,132,43,14,10
337,2018-08-09,414,68,27,13,16
338,2018-12-08,469,20,31,19,4
339,2019-08-19,558,66,16,14,11
340,2019-04-05,564,80,21,3,1
341,2019-08-25,5,76,8,4,15
342,2019-08-06,221,58,15,10,10
343,2019-11-19,736,51,30,12,2
344,2018-04-11,972,36,1,18,16
345,2019-06-26,456,31,22,18,7
346,2019-04-10,950,121,40,6,20
347,2018-04-12,764,35,29,9,1
348,2019-03-22,630,87,10,15,1
349,2019-08-15,121,100,34,19,9
350,2019-04-30,149,91,30,1,4
351,2018-07-20,545,107,47,16,8
352,2019-02-27,799,77,27,15,10
353,2019-04-19,252,46,15,16,1
354,2018-09-14,261,101,25,20,11
355,2018-10-20,897,58,27,19,14
356,2018-02-25,847,56,10,20,7
357,2019-06-30,321,84,50,13,4
358,2019-03-12,290,87,18,6,4
359,2019-01-22,414,62,18,2,11
360,2018-01-14,314,84,44,13,1
361,2019-03-18,304,95,36,13,12
362,2018-07-01,821,143,34,3,12
363,2019-12-31,963,70,45,3,3
364,2018-02-07,243,17,6,10,14
365,2019-10-29,627,31,43,3,2
366,2018-10-02,789,116,21,17,15
367,2019-12-12,356,130,21,18,17
368,2019-11-13,570,110,46,9,11
369,2019-03-02,430,122,44,14,15
370,2019-11-15,31,93,28,13,18
371,2019-03-10,205,48,47,3,3
372,2018-08-01,453,1,16,7,11
373,2018-10-19,720,83,42,18,9
374,2018-11-26,205,103,24,20,2
375,2019-03-31,397,124,36,15,2
376,2018-08-30,4,78,39,11,13
377,2018-04-23,822,49,23,9,13
378,2019-09-09,278,98,50,1,13
379,2018-10-25,294,94,15,18,11
380,2018-01-12,370,115,43,9,4
381,2018-11-05,390,18,17,19,8
382,2018-01-07,385,142,41,14,9
383,2019-08-30,262,16,16,2,5
384,2019-10-07,795,93,37,18,2
385,2019-11-17,134,98,28,13,10
386,2019-07-24,735,122,49,5,2
387,2018-10-03,113,43,13,14,20
388,2018-10-13,352,42,32,17,20
389,2018-04-18,84,51,36,4,12
390,2018-08-09,75,143,16,15,15
391,2019-07-07,214,19,32,4,8
392,2018-05-31,892,118,22,4,20
393,2019-02-02,6,85,30,14,15
394,2019-02-17,116,12,12,14,14
395,2019-09-24,52,64,33,13,3
396,2019-04-21,296,42,33,14,16
397,2019-12-17,682,38,25,1,2
398,2019-10-13,532,136,5,6,10
399,2019-09-06,188,65,34,17,20
400,2019-10-24,594,36,10,4,15
401,2019-12-18,820,19,22,7,16
402,2018-05-22,671,75,23,12,17
403,2019-05-05,516,113,7,2,13
404,2019-07-26,743,118,12,1,17
405,2018-01-20,283,56,32,18,20
406,2019-02-28,491,22,39,8,20
407,2018-01-09,523,12,25,19,1
408,2019-08-21,612,42,7,2,3
409,2019-10-23,564,78,16,8,3
410,2018-03-23,144,54,33,2,14
411,2019-09-20,128,95,50,3,8
412,2019-02-11,730,15,1,10,15
413,2018-07-30,702,26,41,5,9
414,2019-10-20,78,64,44,7,11
415,2019-01-29,699,143,5,2,16
416,2019-10-27,347,20,5,14,16
417,2019-10-07,332,143,10,12,4
418,2018-04-20,950,1,21,13,3
419,2019-04-26,935,74,37,8,9
420,2018-01-20,690,48,16,18,6
421,2019-01-02,486,139,41,14,20
422,2019-09-19,484,38,1,16,15
423,2019-07-29,642,14,40,3,8
424,2018-01-31,817,72,23,9,10
425,2019-03-13,927,104,20,11,13
426,2018-11-21,283,64,1,1,12
427,2018-01-01,849,8,6,5,16
428,2019-01-03,213,3,14,6,15
429,2019-08-03,359,92,32,5,3
430,2019-09-20,539,98,9,12,20
431,2019-08-08,260,98,43,8,4
432,2018-06-23,734,18,12,5,20
433,2018-04-16,860,95,49,5,1
434,2018-06-10,268,68,18,20,8
435,2019-10-05,295,128,20,8,15
436,2019-04-02,730,62,28,5,5
437,2018-12-03,435,77,45,5,5
438,2018-06-30,292,140,34,6,7
439,2018-05-26,983,73,48,18,10
440,2019-07-15,812,89,9,10,2
441,2019-10-04,180,143,38,13,12
442,2018-11-27,394,96,30,8,20
443,2019-04-15,844,17,39,15,14
444,2018-06-12,119,23,43,12,3
445,2018-12-27,847,23,9,15,4
446,2019-06-12,821,102,17,18,4
447,2019-01-15,513,88,50,9,11
448,2018-07-13,544,74,27,17,18
449,2019-01-06,685,134,46,4,10
450,2018-11-28,547,144,2,13,2
451,2018-05-05,343,39,17,6,1
452,2019-10-13,35,105,28,8,3
453,2019-02-23,278,7,5,19,10
454,2019-04-07,642,82,29,20,5
455,2018-03-02,166,122,44,10,15
456,2019-09-27,537,2,44,7,2
457,2018-11-19,460,84,5,12,20
458,2019-11-16,758,113,20,15,15
459,2019-09-01,191,37,9,13,3
460,2018-05-18,118,107,3,15,17
461,2018-05-11,75,122,3,14,19
462,2018-03-25,133,78,29,3,2
463,2019-12-16,671,56,44,5,3
464,2018-03-19,124,51,33,18,5
465,2018-01-19,974,111,19,5,2
466,2019-07-20,937,58,4,9,19
467,2019-08-03,655,57,35,2,9
468,2019-03-06,612,37,32,16,14
469,2019-04-19,220,67,16,16,19
470,2019-10-18,558,81,18,5,15
471,2018-11-15,58,130,24,1,10
472,2019-08-17,916,68,13,12,20
473,2018-03-22,338,46,23,2,16
474,2018-10-11,505,59,7,19,7
475,2018-06-04,573,5,19,18,17
476,2019-02-07,475,40,29,8,11
477,2018-10-19,640,4,27,1,17
478,2019-02-16,771,123,18,11,4
479,2018-02-18,371,64,42,19,12
480,2018-10-13,610,14,5,8,8
481,2018-04-19,491,7,9,8,10
482,2018-12-09,893,18,13,13,11
483,2019-11-02,490,1,12,11,3
484,2018-11-14,834,28,1,8,15
485,2018-06-17,132,86,40,18,4
486,2019-02-01,852,91,7,13,6
487,2019-11-14,520,62,38,17,16
488,2018-03-06,98,63,26,15,19
489,2019-12-07,921,8,3,19,15
490,2018-06-23,363,37,30,19,14
491,2019-06-27,642,3,7,19,10
492,2018-06-26,465,79,20,6,13
493,2018-07-27,550,47,42,20,13
494,2019-07-11,449,32,39,20,16
495,2018-11-22,90,46,14,20,17
496,2019-10-20,773,129,27,4,1
497,2019-12-12,504,112,47,9,3
498,2019-06-11,758,140,12,19,13
499,2018-05-30,899,121,24,5,1
500,2019-08-06,936,102,42,13,14
501,2018-09-19,924,84,41,6,10
502,2018-03-28,739,79,48,13,13
503,2018-09-16,314,140,2,5,4
504,2019-04-14,176,2,25,3,4
505,2019-12-03,811,46,27,10,3
506,2018-06-13,248,12,25,20,5
507,2019-11-04,412,85,24,15,6
508,2019-03-30,445,93,43,19,20
509,2019-05-28,444,129,1,17,2
510,2019-10-14,81,108,42,17,14
511,2019-06-30,530,75,9,6,10
512,2019-12-13,929,101,12,6,12
513,2018-10-01,548,62,46,10,9
514,2018-10-30,187,72,18,1,6
515,2018-04-02,989,71,20,16,18
516,2019-08-27,573,34,13,20,19
517,2019-05-01,948,113,41,12,3
518,2019-07-21,29,53,35,17,11
519,2018-05-25,530,2,19,14,15
520,2019-03-18,918,128,22,17,8
521,2018-09-29,66,5,36,1,16
522,2018-11-30,217,97,39,3,7
523,2018-07-09,210,86,48,1,6
524,2018-12-02,409,141,49,6,9
525,2019-05-30,392,109,10,19,5
526,2018-03-18,217,102,1,3,4
527,2019-09-30,658,19,14,10,6
528,2019-12-28,309,128,9,15,10
529,2018-10-26,12,133,23,20,14
530,2019-06-30,31,144,31,12,14
531,2018-11-14,975,93,20,15,13
532,2019-06-21,491,60,29,9,9
533,2019-03-11,716,49,41,2,7
534,2019-10-27,715,133,48,5,19
535,2018-10-22,931,94,34,18,5
536,2019-08-16,904,71,50,13,10
537,2019-02-08,647,59,43,1,5
538,2019-07-31,902,138,40,8,9
539,2019-08-19,572,137,40,17,4
540,2019-07-19,210,71,21,19,2
541,2019-05-24,901,91,26,19,13
542,2018-03-26,718,123,16,12,5
543,2019-04-08,778,74,6,17,10
544,2018-02-17,171,79,47,20,4
545,2019-02-06,866,28,48,8,17
546,2018-10-29,878,83,40,6,20
547,2019-07-04,779,45,42,8,15
548,2018-09-18,467,103,44,17,5
549,2019-07-26,220,71,20,4,3
550,2019-12-05,438,55,8,10,14
551,2018-05-07,646,127,16,18,18
552,2019-09-04,987,84,6,20,6
553,2018-11-06,693,90,47,17,3
554,2018-12-17,603,18,19,16,6
555,2018-07-06,45,63,11,10,9
556,2019-04-11,691,45,22,8,1
557,2019-02-03,444,79,47,9,8
558,2018-10-23,792,92,29,3,4
559,2019-02-04,744,45,12,6,1
560,2018-06-23,185,127,30,18,10
561,2018-05-23,729,79,35,2,5
562,2019-06-28,671,20,20,11,9
563,2018-08-18,176,49,19,9,12
564,2019-06-10,515,72,10,16,3
565,2019-11-07,714,89,32,17,9
566,2019-09-20,381,86,33,5,1
567,2018-09-16,27,105,34,18,12
568,2018-02-11,176,144,40,15,14
569,2019-08-31,179,39,35,20,9
570,2018-09-15,99,69,20,7,8
571,2018-10-22,394,34,34,12,16
572,2018-04-25,737,106,50,9,3
573,2018-09-16,101,114,46,2,18
574,2019-04-11,536,74,38,17,3
575,2018-02-24,305,90,41,19,15
576,2019-11-28,324,18,35,4,14
577,2018-03-11,394,50,28,15,1
578,2019-07-21,799,93,46,8,8
579,2019-06-18,104,111,49,15,2
580,2019-01-03,767,21,14,19,6
581,2019-10-26,125,34,29,8,19
582,2018-10-10,437,126,29,20,15
583,2018-03-25,387,110,31,19,8
584,2019-06-13,690,26,14,17,14
585,2019-06-19,256,51,39,13,19
586,2018-01-17,75,139,1,5,1
587,2019-07-01,103,100,29,4,5
588,2018-05-03,92,74,45,3,8
589,2018-12-10,570,16,16,11,12
590,2019-08-28,752,109,42,5,2
591,2019-09-03,548,20,39,20,4
592,2018-09-24,831,120,12,10,8
593,2019-12-16,25,44,7,15,3
594,2018-07-21,780,26,26,11,11
595,2018-11-24,938,7,46,11,15
596,2019-05-13,794,10,45,6,16
597,2019-11-24,143,36,28,15,17
598,2019-10-31,487,95,30,4,17
599,2018-12-10,8,85,23,20,20
600,2019-05-06,652,94,20,14,5
601,2018-06-06,750,15,15,12,14
602,2018-05-27,378,17,44,7,3
603,2018-12-20,237,14,16,4,3
604,2018-07-05,237,45,3,7,5
605,2019-08-25,806,129,46,4,19
606,2018-08-05,730,70,50,8,17
607,2019-02-20,821,10,37,14,14
608,2018-08-25,695,34,17,2,5
609,2018-12-02,971,87,44,11,8
610,2018-05-05,66,144,21,15,8
611,2019-01-13,984,5,25,8,12
612,2019-11-28,374,130,12,6,17
613,2019-09-24,416,97,5,5,12
614,2019-04-02,145,128,44,20,8
615,2019-11-28,952,104,39,7,9
616,2018-06-20,452,23,24,18,15
617,2019-05-15,139,100,30,1,3
618,2019-02-18,270,78,33,16,9
619,2019-10-08,88,99,39,1,9
620,2019-07-31,82,100,9,4,16
621,2018-04-01,938,131,2,16,5
622,2019-10-26,583,97,15,8,6
623,2019-08-02,330,17,22,5,17
624,2019-08-10,33,135,39,17,15
625,2018-09-19,551,97,16,8,1
626,2019-03-21,696,49,36,4,2
627,2018-05-02,571,34,16,13,18
628,2019-08-19,843,2,36,19,7
629,2018-01-02,869,94,22,3,15
630,2018-07-29,399,70,48,12,19
631,2018-01-25,951,117,14,8,19
632,2019-09-25,726,119,5,14,18
633,2019-11-19,301,83,25,1,16
634,2019-02-11,395,5,40,5,19
635,2019-06-13,9,1,25,1,6
636,2019-03-21,190,45,10,6,7
637,2019-03-02,762,101,40,4,16
638,2019-10-06,694,24,44,9,13
639,2018-01-18,366,27,37,5,1
640,2019-05-25,611,119,41,15,14
641,2018-12-06,800,14,9,14,15
642,2018-01-31,26,100,22,13,8
643,2019-06-20,250,87,31,12,12
644,2018-10-24,460,145,38,20,17
645,2019-10-31,988,140,31,10,1
646,2019-07-25,623,122,14,8,13
647,2018-08-01,179,93,16,5,9
648,2019-07-18,761,100,5,14,1
649,2019-01-20,584,118,16,14,7
650,2019-09-06,5,33,11,17,19
651,2018-11-27,510,14,47,10,20
652,2019-03-07,406,32,13,16,5
653,2018-10-22,405,37,2,2,15
654,2018-11-08,98,101,43,15,16
655,2019-12-23,471,2,30,11,6
656,2019-12-15,142,112,29,13,17
657,2018-05-01,882,85,49,10,7
658,2019-10-15,272,132,25,3,18
659,2018-01-25,539,57,15,10,5
660,2018-12-05,339,19,37,12,12
661,2018-11-15,54,98,1,20,17
662,2018-06-14,927,32,12,17,8
663,2018-05-06,76,30,50,4,12
664,2018-08-27,354,123,20,17,4
665,2018-04-06,372,29,4,16,10
666,2019-07-25,388,33,35,17,11
667,2019-12-07,39,35,9,3,6
668,2018-11-09,630,106,12,1,12
669,2018-08-11,768,83,48,14,2
670,2018-10-12,153,72,19,7,6
671,2019-03-19,591,127,16,8,16
672,2019-03-27,283,30,35,3,4
673,2018-12-31,607,120,45,5,2
674,2019-07-27,87,133,26,3,12
675,2019-02-13,451,61,47,9,5
676,2019-04-17,703,137,31,2,12
677,2019-10-16,606,145,13,18,15
678,2019-07-06,11,122,43,12,12
679,2019-11-16,315,68,34,14,16
680,2019-08-31,629,85,4,8,14
681,2019-04-25,981,15,46,15,15
682,2018-10-20,150,46,27,18,3
683,2018-03-25,878,130,9,17,4
684,2018-01-28,258,25,14,3,4
685,2019-05-15,85,9,50,15,9
686,2018-04-01,314,131,44,10,11
687,2018-11-19,471,73,21,19,9
688,2018-06-14,705,76,24,4,9
689,2019-06-15,461,142,7,5,14
690,2018-02-22,906,30,42,2,8
691,2019-06-14,140,70,33,16,2
692,2019-11-04,3,119,1,3,7
693,2018-05-15,177,127,28,14,17
694,2018-04-22,212,56,43,19,11
695,2019-01-14,505,102,13,5,13
696,2019-03-24,775,51,1,2,14
697,2018-04-04,613,136,40,5,18
698,2018-12-18,353,52,46,20,9
699,2019-06-11,268,87,20,7,2
700,2019-09-15,323,65,31,14,2
701,2018-04-20,759,121,24,5,8
702,2018-12-23,255,95,23,18,18
703,2018-09-03,874,34,44,9,3
704,2019-03-18,401,135,47,14,8
705,2018-01-07,609,62,33,11,6
706,2018-11-18,923,26,21,4,5
707,2018-10-01,152,78,27,3,14
708,2018-08-27,810,9,34,12,2
709,2018-04-29,85,14,7,10,15
710,2018-07-01,474,116,35,3,2
711,2019-07-14,80,49,1,9,18
712,2019-05-03,199,9,40,15,14
713,2019-06-16,835,58,37,6,9
714,2019-06-13,878,75,8,2,12
715,2018-04-01,264,92,36,5,20
716,2019-04-03,830,61,37,4,5
717,2019-07-03,170,113,33,12,13
718,2018-12-25,306,104,7,11,1
719,2018-09-25,576,112,13,13,7
720,2018-01-12,260,46,16,17,8
721,2019-09-20,876,103,29,14,18
722,2018-11-02,935,35,3,15,5
723,2019-08-11,459,143,41,18,10
724,2018-06-16,198,135,5,20,4
725,2019-04-07,957,100,46,12,9
726,2018-03-02,247,51,33,19,14
727,2019-12-23,777,82,7,15,10
728,2019-05-03,960,39,40,17,5
729,2018-04-27,683,15,1,6,4
730,2018-08-31,332,85,15,10,12
731,2019-10-15,294,15,35,15,9
732,2018-02-20,383,102,15,10,15
